asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
AUD-SFX-001_confirm_v001,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/AUD-SFX-001_confirm_v001.wav,,3a49a9f3e97e1c87d7246923388c7e8939807ccdddd749ee0993d0137704d3e0,程序化合成,Python 3.13 + numpy 2.5 + ffmpeg 8.0.1 loudnorm,2026-08-08,project-original,,false,,,2026-08-08T01:04:00+08:00,,confirm 上扬双音 C5->E5; I=-23.5 LUFS; TPK=-14.2 dBFS; 待人耳 QA
AUD-SFX-001_confirm_v001_ogg,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/AUD-SFX-001_confirm_v001.ogg,,5ba3da4f3c848ecf1b7cd742c3545227c98bf936a8615898226f5f2579a2adda,程序化合成,Python 3.13 + numpy 2.5 + ffmpeg 8.0.1 loudnorm,2026-08-08,project-original,,false,,,2026-08-08T01:04:00+08:00,,confirm OGG 副本 128 kbps
AUD-SFX-001_cancel_v001,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/AUD-SFX-001_cancel_v001.wav,,9ce3df840ae9a19625d58d94ad51fff1fe05afde68546d0b6bccf5782ebe292b,程序化合成,Python 3.13 + numpy 2.5 + ffmpeg 8.0.1 loudnorm,2026-08-08,project-original,,false,,,2026-08-08T01:04:00+08:00,,cancel G4 单音下抑; I=-23.5 LUFS; TPK=-10.4 dBFS
AUD-SFX-001_cancel_v001_ogg,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/AUD-SFX-001_cancel_v001.ogg,,dcff0ee8802b344d8a6fd3b16d8d6ce91a119a2adb07fa9c1af34e1dc54c97d0,程序化合成,Python 3.13 + numpy 2.5 + ffmpeg 8.0.1 loudnorm,2026-08-08,project-original,,false,,,2026-08-08T01:04:00+08:00,,cancel OGG 副本
AUD-SFX-001_fail_v001,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/AUD-SFX-001_fail_v001.wav,,8ee48cf87755be0531a7e3875a0b9420f13a1e83ae4439dd059d959e695dd1a7,程序化合成,Python 3.13 + numpy 2.5 + ffmpeg 8.0.1 loudnorm,2026-08-08,project-original,,false,,,2026-08-08T01:04:00+08:00,,fail D4->A3 低频下降; I=-23.5 LUFS; TPK=-14.9 dBFS
AUD-SFX-001_fail_v001_ogg,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/AUD-SFX-001_fail_v001.ogg,,8a9d36d7d1b8797b591e9fdf64d01f494c655236a07c70a3729b8e38860ef9ba,程序化合成,Python 3.13 + numpy 2.5 + ffmpeg 8.0.1 loudnorm,2026-08-08,project-original,,false,,,2026-08-08T01:04:00+08:00,,fail OGG 副本
AUD-SFX-001_clue_v001,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/AUD-SFX-001_clue_v001.wav,,6cd4ec16d57f7eb2cb82fb0f9e9241d4bf7513669341ddf5a9e3e5bdf45c5cc0,程序化合成,Python 3.13 + numpy 2.5 + ffmpeg 8.0.1 loudnorm,2026-08-08,project-original,,false,,,2026-08-08T01:04:00+08:00,,clue A4+E5 拨弦余音; I=-23.6 LUFS; TPK=-15.5 dBFS
AUD-SFX-001_clue_v001_ogg,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/AUD-SFX-001_clue_v001.ogg,,be4e576a45951a19b8f21c0fd8fbf300f13bcb1bb451ffa4cdfe402edd1013a1,程序化合成,Python 3.13 + numpy 2.5 + ffmpeg 8.0.1 loudnorm,2026-08-08,project-original,,false,,,2026-08-08T01:04:00+08:00,,clue OGG 副本
AUD-SFX-001_relation_v001,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/AUD-SFX-001_relation_v001.wav,,d51c6f63b0695c0f1a0984b02aa4a142411af0d07edc6a282e63bae2f737291d,程序化合成,Python 3.13 + numpy 2.5 + ffmpeg 8.0.1 loudnorm,2026-08-08,project-original,,false,,,2026-08-08T01:04:00+08:00,,relation C5+E5+G5 三和音; I=-23.5 LUFS; TPK=-15.1 dBFS
AUD-SFX-001_relation_v001_ogg,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/AUD-SFX-001_relation_v001.ogg,,77a8a4f468a03fc1ac34d1f15a51979875785bc926f02bf368d887ea36baf675,程序化合成,Python 3.13 + numpy 2.5 + ffmpeg 8.0.1 loudnorm,2026-08-08,project-original,,false,,,2026-08-08T01:04:00+08:00,,relation OGG 副本
audio.meta_v001,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/audio.meta_v001.fragment.json,,6a4ac0724d0a84cd77e0bde94a51ae18b181b64931d4d9df46d806fde48e68e1,程序化/JSON,Python 3.13 json.dumps,2026-08-08,owned,,false,,,2026-08-08T01:04:00+08:00,,5 stems metadata v001 fragment
measurements_v001,AUD-SFX-001,sample_candidate,inbox/audio/sfx/v001/measurements_v001.json,,269d237d023e9f1351840206d3f3cda5e332fe572f66884642ac289693db6a06,程序化/JSON,Python 3.13 json.dumps,2026-08-08,owned,,false,,,2026-08-08T01:04:00+08:00,,measurements array v001
