asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
AUD-SFX-001_button_click-wav,AUD-SFX-001,received,materials/inbox/audio/sfx/AUD-SFX-001_button_click_UW-UPGRADE-1.0_48k24b.wav,,e9e9f2404cc79d9f2ce1084248a5ab7ee714fd0f697f5c98ec7e4b46e27fdff0,WorkBuddy AI Asset Agent,Python 3.13 + numpy/scipy procedural synthesis,2026-08-07T18:30:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,SFX: Button click (WAV)
AUD-SFX-001_button_click-ogg,AUD-SFX-001,received,materials/inbox/audio/sfx/AUD-SFX-001_button_click_UW-UPGRADE-1.0.ogg,,d0ed3b7ed8ee4759915532d7ba3b53503c74c2910805078e96fd6a74a3d7d0fc,WorkBuddy AI Asset Agent,Python 3.13 + numpy/scipy procedural synthesis,2026-08-07T18:30:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,SFX: Button click (OGG)
AUD-SFX-001_button_hover-wav,AUD-SFX-001,received,materials/inbox/audio/sfx/AUD-SFX-001_button_hover_UW-UPGRADE-1.0_48k24b.wav,,c5da84b82dfc212485ad7c11e3503761c61ba7aab82e865986418b8a0ae6ddf1,WorkBuddy AI Asset Agent,Python 3.13 + numpy/scipy procedural synthesis,2026-08-07T18:30:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,SFX: Button hover (WAV)
AUD-SFX-001_button_hover-ogg,AUD-SFX-001,received,materials/inbox/audio/sfx/AUD-SFX-001_button_hover_UW-UPGRADE-1.0.ogg,,db00539601275581a2959a49c340fd8e102bf85e689aefd1a8e0c22d57c495f6,WorkBuddy AI Asset Agent,Python 3.13 + numpy/scipy procedural synthesis,2026-08-07T18:30:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,SFX: Button hover (OGG)
AUD-SFX-001_tab_switch-wav,AUD-SFX-001,received,materials/inbox/audio/sfx/AUD-SFX-001_tab_switch_UW-UPGRADE-1.0_48k24b.wav,,acad7049e8020c5dfde366641c107f43202198d7b947ebeadaa0322437bd685f,WorkBuddy AI Asset Agent,Python 3.13 + numpy/scipy procedural synthesis,2026-08-07T18:30:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,SFX: Tab switch (WAV)
AUD-SFX-001_tab_switch-ogg,AUD-SFX-001,received,materials/inbox/audio/sfx/AUD-SFX-001_tab_switch_UW-UPGRADE-1.0.ogg,,4f6ab523b0800484824840c07ec01ff2a816e7803f6429674185fdab0f7ac6fb,WorkBuddy AI Asset Agent,Python 3.13 + numpy/scipy procedural synthesis,2026-08-07T18:30:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,SFX: Tab switch (OGG)
AUD-SFX-001_menu_open-wav,AUD-SFX-001,received,materials/inbox/audio/sfx/AUD-SFX-001_menu_open_UW-UPGRADE-1.0_48k24b.wav,,a9d89a0a893b57a3270734732763e23f48695f6dcd3564674581d168fe54d094,WorkBuddy AI Asset Agent,Python 3.13 + numpy/scipy procedural synthesis,2026-08-07T18:30:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,SFX: Menu open (WAV)
AUD-SFX-001_menu_open-ogg,AUD-SFX-001,received,materials/inbox/audio/sfx/AUD-SFX-001_menu_open_UW-UPGRADE-1.0.ogg,,e9b17963b93d7f03d54dde8e4ebe0363b8e3469d1961c7aa33c12ce9c0483f7c,WorkBuddy AI Asset Agent,Python 3.13 + numpy/scipy procedural synthesis,2026-08-07T18:30:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,SFX: Menu open (OGG)
AUD-SFX-001_menu_close-wav,AUD-SFX-001,received,materials/inbox/audio/sfx/AUD-SFX-001_menu_close_UW-UPGRADE-1.0_48k24b.wav,,f4d08883b398bdada28bfad39afceddcae0606e5c6d4208586718074a680f0a0,WorkBuddy AI Asset Agent,Python 3.13 + numpy/scipy procedural synthesis,2026-08-07T18:30:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,SFX: Menu close (WAV)
AUD-SFX-001_menu_close-ogg,AUD-SFX-001,received,materials/inbox/audio/sfx/AUD-SFX-001_menu_close_UW-UPGRADE-1.0.ogg,,e9623426735669c0e08d3f6991ff975bd050192c7e19684d3fca58dafcd522fe,WorkBuddy AI Asset Agent,Python 3.13 + numpy/scipy procedural synthesis,2026-08-07T18:30:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,SFX: Menu close (OGG)
